model_name,verlan,standard,template_group,template,sentence_verlan,sentence_standard,layer,layer_name,word_similarity,sentence_similarity,attention_available,intra_verlan,context_verlan,self_verlan,incoming_verlan,intra_standard,context_standard,self_standard,incoming_standard,target_subwords_verlan,target_subwords_standard,target_tokens_verlan,target_tokens_standard,token_span_verlan,token_span_standard
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,0,embedding,0.2406749725341797,0.8602100610733032,False,,,,,,,,,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,1,encoder_1,0.3188604712486267,0.9038931131362915,True,0.19568322225673107,0.7361122808229873,0.06820450519870604,0.1405869731739444,0.0,0.8939564859613215,0.10604354671258066,0.06435313569807463,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,2,encoder_2,0.40595048666000366,0.9167985916137695,True,0.09331167548790105,0.8876667956963818,0.01902157786537759,0.03306493241587778,0.0,0.9547438009572811,0.04525620915145001,0.01992699957023683,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,3,encoder_3,0.5456551313400269,0.914069414138794,True,0.15510268460724982,0.7971460539886813,0.047751267095486244,0.05515516160139831,0.0,0.9475744822356585,0.05242552996051399,0.03396788258775143,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,4,encoder_4,0.6630935668945312,0.9330289363861084,True,0.05610487430518399,0.9035706159820892,0.04032455022526332,0.035707381229534985,0.0,0.9544889000097904,0.045511118364427644,0.02309974151052858,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,5,encoder_5,0.7206482887268066,0.9482479095458984,True,0.08453164786710866,0.8908535399071581,0.024614852065645603,0.038069395354164995,0.0,0.9735824304752841,0.026417577751398146,0.032541599182980226,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,6,encoder_6,0.7540339231491089,0.9449620246887207,True,0.08694250252989494,0.8959133955630728,0.017144075674783734,0.05218277966038381,0.0,0.9594432211599523,0.04055679879800061,0.03587643307621479,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,7,encoder_7,0.7683531641960144,0.953324556350708,True,0.034115672815132995,0.9447158043154632,0.02116853580444231,0.035796668280832854,0.0,0.9638589466351823,0.03614105417972526,0.02442389065570452,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,8,encoder_8,0.7526923418045044,0.9532118439674377,True,0.053477749772099376,0.917463321660133,0.029058896902803485,0.044506661418887594,0.0,0.942691450465889,0.05730855593695419,0.03244705096199661,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,9,encoder_9,0.7324764728546143,0.9335331916809082,True,0.07543103501232966,0.9127056996726123,0.011863240583270011,0.04147264270312911,0.0,0.9649878732260754,0.035012127278390016,0.037788379891208174,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,10,encoder_10,0.6844939589500427,0.9191369414329529,True,0.07410984410413006,0.9137284904122146,0.012161631076462225,0.0392728496724284,0.0,0.9755159414293807,0.024484051120039662,0.042157271381299266,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,11,encoder_11,0.6279509663581848,0.9087076187133789,True,0.07996058683153574,0.9010566750386686,0.018982748891747007,0.040655793622136116,0.0,0.9778804682908403,0.022119524840657694,0.024837536409927658,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,12,encoder_12,0.7079686522483826,0.9363836050033569,True,0.07414803622095792,0.8103380572690949,0.1155139088899963,0.04712073020002769,0.0,0.9325321666806788,0.06746782222106108,0.0275543055659523,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,0,embedding,0.22699612379074097,0.837549090385437,False,,,,,,,,,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,1,encoder_1,0.3214595913887024,0.8699779510498047,True,0.19611360114499576,0.7283427130840873,0.07554368577092113,0.16057182334781955,0.0,0.8898282974255661,0.11017170168191913,0.08011591191190139,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,2,encoder_2,0.4031018018722534,0.8747727274894714,True,0.09801009989406229,0.8874540761991968,0.01453583591045827,0.047848436485387835,0.0,0.947399183067987,0.052600838759886054,0.02742031110554691,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,3,encoder_3,0.5652954578399658,0.890755295753479,True,0.1574235224289141,0.800448260452343,0.042128203769787265,0.052975091332451506,0.0,0.9500278445591307,0.04997215947902697,0.032507436191345086,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,4,encoder_4,0.620758593082428,0.9002465009689331,True,0.05330538846465471,0.9021497945748304,0.04454480190413538,0.038241563893356555,0.0,0.9513582981611107,0.048641697841964426,0.013123739162141615,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,5,encoder_5,0.6926459074020386,0.9252328276634216,True,0.07245542147177486,0.9024612105110502,0.025083349804647912,0.042653642494377725,0.0,0.970566234748555,0.02943375474011387,0.031232306908453685,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,6,encoder_6,0.7492313385009766,0.9244049787521362,True,0.07175821711889022,0.9131650639907564,0.015076713198942908,0.04403098852602908,0.0,0.9740490557698734,0.025950956950926602,0.022435729205016994,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,7,encoder_7,0.766921877861023,0.9314045906066895,True,0.028064393928309755,0.9490078432382131,0.022927743275706264,0.029854562490303008,0.0,0.9749585835594422,0.02504141445179642,0.01808794400411944,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,8,encoder_8,0.7655543088912964,0.9313969612121582,True,0.0522081229787013,0.9104915224932868,0.0373003770867189,0.032853928436700444,0.0,0.8968418812758262,0.10315811810329217,0.025146665385380355,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,9,encoder_9,0.7545801401138306,0.9157427549362183,True,0.06606573286254554,0.9217474290194625,0.012186842050246593,0.030220347672494176,0.0,0.9821966532092742,0.017803351835391945,0.02303942676831879,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,10,encoder_10,0.7077288031578064,0.8913236856460571,True,0.09272375608712839,0.8901675860071335,0.01710862686165567,0.03892532501021726,0.0,0.9646268380057691,0.0353731541167959,0.038104102095880894,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,11,encoder_11,0.668097734451294,0.883366584777832,True,0.0871560422465459,0.8969262542081368,0.015917694439056693,0.026247723021118774,0.0,0.9667505363896064,0.03324948056822767,0.02017574248295408,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,Je parle avec ces X.,Je parle avec ces meufs.,Je parle avec ces femmes.,12,encoder_12,0.7292080521583557,0.953313946723938,True,0.08542083283347507,0.791732359929706,0.12284683693566377,0.04362366809122866,0.0,0.9374482133153205,0.06255178517128017,0.022603798722825492,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[5, 8]","[5, 6]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,0,embedding,0.2285347282886505,0.8723931908607483,False,,,,,,,,,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,1,encoder_1,0.3016263246536255,0.901000440120697,True,0.1897948520893542,0.7427754563758607,0.0674296923626298,0.1430557993594204,0.0,0.8898774635883745,0.11012254320251984,0.06353877913970539,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,2,encoder_2,0.3678450882434845,0.9163789749145508,True,0.1023613583006619,0.8771860532003396,0.020452590361648898,0.03576780205229207,0.0,0.9670720193020639,0.03292798286132105,0.024834172783351,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,3,encoder_3,0.5126696825027466,0.9282379150390625,True,0.1634376086595408,0.787606422234148,0.048955987525803685,0.04695753125564491,0.0,0.9436995586709053,0.05630044646906814,0.03751974499809753,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,4,encoder_4,0.6171305775642395,0.9440617561340332,True,0.05606706820213519,0.8945360635881662,0.04939683413881842,0.027840795582278494,0.0,0.9796257890430585,0.020374198819435627,0.014088786321340014,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,5,encoder_5,0.6862293481826782,0.9537545442581177,True,0.09123345021004543,0.8802290500089858,0.02853747018560912,0.03708558651460519,0.0,0.9754632013774135,0.024536801144918987,0.0325448247559813,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,6,encoder_6,0.7279302477836609,0.9565473794937134,True,0.07189747663296452,0.9132698641411899,0.014832653948354596,0.03808039659376387,0.0,0.9667965872383011,0.033203421492851416,0.02194473560929587,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,7,encoder_7,0.7576049566268921,0.962726354598999,True,0.03146513449033073,0.9456624540877675,0.022872378825614437,0.025759653672924303,0.0,0.9771948365297609,0.022805155146546473,0.014913640590916587,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,8,encoder_8,0.7519438862800598,0.9658275842666626,True,0.03298533230216172,0.9432259728619341,0.02378870332128846,0.02345246526457555,0.0,0.953644779521064,0.04635521011797325,0.021255233834128074,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,9,encoder_9,0.7498769760131836,0.9588289856910706,True,0.08690138733396348,0.8995568430092984,0.013541783316139318,0.036280818205898416,0.0,0.9639603462645154,0.03603967170225073,0.024621288059008303,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,10,encoder_10,0.6707614660263062,0.9451959133148193,True,0.11488964032320144,0.8669104851299335,0.01819986399187776,0.03481966306588611,0.0,0.9640654072321424,0.03593457934129104,0.03425261028486318,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,11,encoder_11,0.6029424071311951,0.9396265149116516,True,0.09153876398370496,0.8945835754978814,0.013877641943704576,0.023927789331053714,0.0,0.9819879686733618,0.018012011342011774,0.01755873987634485,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,meufs,femmes,noun_plural,On voit les X dans la rue.,On voit les meufs dans la rue.,On voit les femmes dans la rue.,12,encoder_12,0.7002586126327515,0.969008207321167,True,0.08301372798156366,0.794716459344544,0.12226982374628541,0.039965056250146944,0.0,0.9446447279065183,0.05535528703344831,0.024155373719138132,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[4, 7]","[4, 5]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,0,embedding,0.18296056985855103,0.7920004725456238,False,,,,,,,,,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,1,encoder_1,0.2841852307319641,0.8376072645187378,True,0.1357082020153458,0.7799500773904308,0.08434171562717518,0.10110752449439504,0.0,0.8746280301194931,0.1253719556002277,0.09923827130870033,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,2,encoder_2,0.3698917329311371,0.8722901940345764,True,0.066787510648003,0.9112855719001106,0.021926907362563405,0.03364752585003738,0.0,0.9633164209402633,0.03668358044702041,0.02406920768053147,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,3,encoder_3,0.503982424736023,0.8817569017410278,True,0.09020776848414058,0.8746795009375014,0.03511274870034561,0.055501453493967116,0.0,0.967908257289645,0.032091757942877115,0.04841374496630224,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,4,encoder_4,0.61098313331604,0.8998433351516724,True,0.04160891654664659,0.9171926684927695,0.041198422372362445,0.032827329378735094,0.0,0.9755567167007393,0.02444327165772965,0.012951572869932487,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,5,encoder_5,0.6670284271240234,0.9198772311210632,True,0.07308170023307696,0.8917600868700774,0.03515822484882075,0.051133692374227026,0.0,0.9613281926754116,0.03867181650199599,0.038938451321227495,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,6,encoder_6,0.6692771911621094,0.912703275680542,True,0.04073722507263694,0.9326137921865478,0.026649006916398973,0.04171318550960884,0.0,0.9616675368434038,0.038332494724552364,0.030776529295798574,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,7,encoder_7,0.6887905597686768,0.9214394092559814,True,0.017108018900417098,0.9618894854511506,0.021002495881265026,0.023594693075635276,0.0,0.9795052862327234,0.02049469665422571,0.019125535518343825,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,8,encoder_8,0.6775561571121216,0.9248161315917969,True,0.024058537165090443,0.9406335224508665,0.03530794899877971,0.028212519312670856,0.0,0.9776644105196693,0.022335581738711932,0.02665418386451424,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,9,encoder_9,0.6622887849807739,0.9175071120262146,True,0.07057251112405824,0.9143221126126452,0.015105382161673675,0.03976369184987349,0.0,0.9736579951861181,0.02634201354503225,0.0280867046268289,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,10,encoder_10,0.6077190041542053,0.8820493817329407,True,0.06581766273650137,0.9132941284684583,0.020888203866793197,0.038402620454976714,0.0,0.9504866932455073,0.0495133118379616,0.03637552627863372,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,11,encoder_11,0.5771559476852417,0.87709641456604,True,0.04939728556171507,0.9350084993943056,0.015594225754189802,0.026659007352820206,0.0,0.9762393778452684,0.02376062428901633,0.02086991245204328,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,La X commence bientôt.,La teuf commence bientôt.,La fête commence bientôt.,12,encoder_12,0.7481893301010132,0.9347044229507446,True,0.05798549655204018,0.8274585902690887,0.11455590045079589,0.030483883811351368,0.0,0.9194287953847974,0.08057123170116857,0.026286740693431333,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[2, 4]","[2, 3]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,0,embedding,0.1620337963104248,0.8481460809707642,False,,,,,,,,,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,1,encoder_1,0.2668300271034241,0.8989049792289734,True,0.12593929544612456,0.8019424201196307,0.07211829467879731,0.09172170452729554,0.0,0.8903546310026563,0.10964535687074971,0.06906056086222988,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,2,encoder_2,0.3078262209892273,0.9087140560150146,True,0.06359599948009587,0.9169550291272159,0.019448967764412847,0.03641430768721224,0.0,0.9565377045798709,0.043462297263372286,0.029431554245242936,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,3,encoder_3,0.4581441283226013,0.9231943488121033,True,0.10087263072236902,0.8542850068519946,0.044842384389330685,0.05002114393374537,0.0,0.9524177369515313,0.047582263291001535,0.032463745107086946,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,4,encoder_4,0.5319575071334839,0.9334929585456848,True,0.03796697109279054,0.9067302778967888,0.055302759469937034,0.02715417904147961,0.0,0.9664413117289167,0.033558692156446406,0.012987726784062315,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,5,encoder_5,0.6101741194725037,0.9478564858436584,True,0.07179506855063139,0.893165630086142,0.03503927187134883,0.03998932773421241,0.0,0.9624182739220313,0.03758170890671195,0.035423799863979526,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,6,encoder_6,0.6790357828140259,0.9476041793823242,True,0.034925384512965334,0.9447548308636433,0.020319785903962034,0.032935524064028394,0.0,0.9772215688543251,0.02277842968563452,0.021348829469652653,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,7,encoder_7,0.6833301782608032,0.9502637386322021,True,0.02158116049226459,0.9398889428696647,0.03852990346777163,0.024753392417801626,0.0,0.9629517633353025,0.037048252827025265,0.017026335074937678,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,8,encoder_8,0.6668881177902222,0.9560306072235107,True,0.028449972625831942,0.9296795254070808,0.04187052408600164,0.01801862132608738,0.0,0.9572065052628725,0.04279350226531815,0.014234973076533182,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,9,encoder_9,0.6043211221694946,0.9350420236587524,True,0.07364956470663046,0.9121907347076079,0.014159709898990798,0.02934331782193067,0.0,0.9759573376637846,0.024042660706402944,0.026210677712156637,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,10,encoder_10,0.5868229866027832,0.9131287336349487,True,0.06810433213996386,0.9114988350986116,0.020396817860266505,0.031491516565217904,0.0,0.9821748273944538,0.01782518001732141,0.02735468860742679,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
camembert-base,teuf,fête,noun_singular,On parle souvent de cette X.,On parle souvent de cette teuf.,On parle souvent de cette fête.,11,encoder_11,0.5908476710319519,0.9172388911247253,True,0.05846941875793884,0.9214724843523555,0.020058102477644776,0.023714668618938325,0.0,0.9796706742893212,0.02032931028565074,0.016642170248097315,2,1,"[""▁te"", ""uf""]","[""▁fête""]","[6, 8]","[6, 7]"
